hour,day_of_week,avg_speed_kmh,target_speed,percentile_used,min_speed_mean,max_speed_mean,total_vehicles,traffic_density,speed_factor
5.0,5.0,58.0,58,47,26.427619194849363,101.69977356843417,6284275.0,17.14285714285714,0.8285714285714286
5.0,6.0,58.0,58,45,30.206616495872474,100.01305863933959,4403157.0,17.14285714285714,0.8285714285714286
6.0,0.0,50.0,50,42,23.38633086348095,106.15374150893773,17619807.0,28.57142857142857,0.7142857142857143
6.0,1.0,50.0,50,41,22.911888881004753,106.36800184488753,18589042.0,28.57142857142857,0.7142857142857143
6.0,2.0,50.0,50,42,23.106228732060956,105.19502536922448,18456131.0,28.57142857142857,0.7142857142857143
6.0,3.0,50.0,50,41,22.895391399094283,106.50350709932242,19824473.0,28.57142857142857,0.7142857142857143
6.0,4.0,50.0,50,41,22.697095507765,105.7448580759476,18942865.0,28.57142857142857,0.7142857142857143
6.0,5.0,50.0,50,39,24.1999643414308,104.2023623802095,10703479.0,28.57142857142857,0.7142857142857143
6.0,6.0,50.0,50,37,28.151553527748383,102.34984299914994,5595251.0,28.57142857142857,0.7142857142857143
7.0,0.0,32.0,32,25,21.790575453001132,103.77550785673839,19992642.0,54.28571428571429,0.45714285714285713
7.0,1.0,32.0,32,24,21.400116734614468,104.59304721561413,20399981.0,54.28571428571429,0.45714285714285713
7.0,2.0,32.0,32,25,21.491939957013106,103.61341260486722,20514273.0,54.28571428571429,0.45714285714285713
7.0,3.0,32.0,32,24,21.184627131585646,104.58925086960211,21893319.0,54.28571428571429,0.45714285714285713
7.0,4.0,32.0,32,24,21.235168868038844,104.31102532587809,21358009.0,54.28571428571429,0.45714285714285713
7.0,5.0,32.0,32,18,22.522051345543304,105.84389398374559,15025088.0,54.28571428571429,0.45714285714285713
7.0,6.0,32.0,32,16,26.482830429603474,104.44391502198151,7587663.0,54.28571428571429,0.45714285714285713
8.0,0.0,24.0,24,15,20.81489638336827,102.28652674220112,16856203.0,65.71428571428571,0.34285714285714286
8.0,1.0,24.0,24,15,20.409117826428968,102.9215138632326,17340373.0,65.71428571428571,0.34285714285714286
8.0,2.0,24.0,24,15,20.45533927596871,102.10815423131231,17685270.0,65.71428571428571,0.34285714285714286
8.0,3.0,24.0,24,15,20.40652658547947,102.67652392360418,18790797.0,65.71428571428571,0.34285714285714286
8.0,4.0,24.0,24,14,20.401927089194967,102.69914553592298,17927681.0,65.71428571428571,0.34285714285714286
8.0,5.0,24.0,24,7,21.437716950634623,105.78040400293243,15342721.0,65.71428571428571,0.34285714285714286
8.0,6.0,24.0,24,5,25.85099354706545,105.6700894533784,7553503.0,65.71428571428571,0.34285714285714286
9.0,0.0,27.0,27,18,20.193753079802548,102.59921502857192,16809712.0,61.42857142857143,0.38571428571428573
